# UH-60M reference photos - filename | source page URL | author | license | variant | note (angle / what it shows)
blades_01_folded_blade_root_swept_tips_bg.jpg | https://commons.wikimedia.org/wiki/File:3rd_CAB,_3rd_ID_land_in_Belgium_for_Atlantic_Resolve_(5874658).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/5874658/3rd-cab-3rd-id-land-belgium-atlantic-resolve) | U.S. Army photo by Pierre Courtejoie | Public domain | UH-60M (3rd CAB 2019) | Blade folded back along the fuselage: blade root/cuff end and spar; in background the rotor with swept tips visible (UH-60M wide-chord blades with swept, anhedral tips); eye level
cabin_01_gunner_window_m240_mount.jpg | https://commons.wikimedia.org/wiki/File:10th_Combat_Aviation_Brigade_Black_Hawks_131223-A-MH207-419.jpg (image fetched from DVIDS: https://www.dvidshub.net/image/1144114/10th-combat-aviation-brigade-black-hawks) | Capt. Peter Smedberg | Public domain | UH-60M | Cabin interior, crew chief at right gunner window with M240 door-gun mount and ammo can, soundproofing/interior frame; eye level from cabin
cabin_02_right_door_open_from_outside.jpg | https://commons.wikimedia.org/wiki/File:Aerial_Gunnery_with_2-501,_1st_Armored_Division_Combat_Aviation_Brigade_(9271588).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/9271588/aerial-gunnery-with-3-501-1st-armored-division-combat-aviation-brigade) | U.S. Army photo by Sgt. Justin Lacy | Public domain | UH-60M | Right cabin door open seen from outside: troop seats (folded), crew chief seat, gunner window, door rail, crew; eye level
cabin_03_troop_seats_gunner_window.jpg | https://commons.wikimedia.org/wiki/File:Black_Hawk_Austria_02.jpg | flightlog | CC BY 2.0 | S-70A-42 (Austrian, UH-60L-based) - cabin layout similar, not US Army M | Cabin interior from right door: 4 crash-attenuating troop seats with harnesses, left gunner window, aft cabin wall, floor tie-down rings, fire extinguisher; eye level
cabin_04_medevac_litters_door_frame.jpg | https://commons.wikimedia.org/wiki/File:US_Navy_071211-N-9623R-006_Seabees_from_Naval_Mobile_Construction_Battalion_(NMCB)_17_assist_in_loading_fellow_Seabees_into_a_Blackhawk_medical_evacuation_helicopter_(MEDAVAC)_during_a_mass_casualty_drill.jpg | U.S. Navy photo by Mass Communication Specialist 2nd Class Kenneth W. Robinson | Public domain | UH-60A/L MEDEVAC (US Army, 2007) - not M | Cabin through open left door: litter carousel with patients, crew/medic seat, cabin floor + door rail, 'CLOSED & LOCKED' door handle, interior panels; eye level
cockpit_m_01_panel_from_rear_empty.jpg | https://commons.wikimedia.org/wiki/File:16th_CAB_upgrades_Black_Hawk_helicopters_DVIDS815181.jpg | Sgt. Adrianna Barnes | Public domain | UH-60M (CAAS glass cockpit) | Full instrument panel from behind/between the seats, 4 MFDs (off), glareshield, center console with 2 CDUs, both cyclics; wide angle, parked
cockpit_m_02_panel_from_rear_daylight.jpg | https://commons.wikimedia.org/wiki/File:Out_with_the_old,_in_the_with_the_new_160014-A-ZE044-067.jpg | Sgt. Matthew Ryan | Public domain | UH-60M (CAAS glass cockpit) | Same view as 01 from behind the seats: 4 MFDs, glareshield, center console/CDUs, parking brake area, cyclic grips; parked, daylight
cockpit_m_03_from_cabin_inflight_overhead.jpg | https://commons.wikimedia.org/wiki/File:Hawks_on_Approach_160621-A-PG801-002.jpg | Capt. Brian Harris | Public domain | UH-60M | In flight, looking forward from the cabin: overhead console from behind (hanging cables/cords), pilot/copilot MFDs lit (moving map), windshield; eye level
cockpit_m_04_from_rear_inflight_nvg_lighting.jpg | https://commons.wikimedia.org/wiki/File:TF_Warhawks_go_high_altitude_in_Idaho_131022-A-XP915-004.jpg (image fetched from DVIDS: https://www.dvidshub.net/image/1042623/tf-warhawks-go-high-altitude-idaho) | Staff Sgt. Bryan Lewis | Public domain | UH-60M | In flight with green NVG-compatible lighting, from behind pilot seats: MFDs lit, overhead console lit, glareshield; dark/low contrast
cockpit_m_05_panel_from_rear_mfds_on.jpg | https://commons.wikimedia.org/wiki/File:Army.mil-2007-11-16-161608.jpg | Courtesy Sikorsky | Public domain | UH-60M (early CAAS cockpit, 2007) | Full instrument panel from behind/between the seats with all 4 MFDs ON (PFD/ND pages), glareshield, center console with 2 CDUs, overhead console bottom edge; original only 1200x901
cockpit_m_06_left_side_mfds_cyclic_grip.jpg | https://commons.wikimedia.org/wiki/File:Poste_de_pilotage_Black_Hawk.jpg | Mick7402 | CC BY-SA 3.0 | UH-60M (glass cockpit) | From the left door/side: pilot-side MFDs (off), glareshield with 'NO HAND HOLD', cyclic grip close-up, center console CDU keyboards, seat armor 'NO' stencil
engines_hirss_01_right_engine_cowls_open.jpg | https://commons.wikimedia.org/wiki/File:40-hour_maintenance_on_1CAB_1ID_UH-60_Black_Hawk_in_cold_weather_(5085968).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/5085968/40-hour-maintenance-1cab-1id-uh-60-black-hawk-cold-weather) | U.S. Army photo by Pierre Courtejoie | Public domain | UH-60 (1st CAB 1ID 2018, UH-60M-era unit) | Right side upper deck: engine cowls open, engine inlet with red FOD cover, rotor head above, cabin windows below; low camera from ground
engines_hirss_02_left_t700_exposed.jpg | https://commons.wikimedia.org/wiki/File:Balikatan_2026-_Task_Force_Saber_conducts_UH-60_Black_Hawk_40-hour_inspection_(9657355).jpg (image fetched from DVIDS: https://www.dvidshub.net/image/9657355/balikatan-2026-task-force-saber-conducts-uh-60-black-hawk-40-hour-inspection) | U.S. Army photo by Sgt. Olivia Cowart | Public domain | UH-60 (25th CAB 2026, UH-60M unit) | Left T700 engine exposed (cowls open): inlet fairing, engine body, exhaust duct (orange cover), main transmission; eye level at deck
